basin_id,basin_text,ph,hardness
1,01,8.1,150.5
2,02,7.6,62.55
3,03,8,168.5
4,04,8,219.5
5,05,7.9,128
6,06,7.8,104
7,07,8.1,233
8,08,7.2,38.3
9,09,7.6,73.25
10,10,7.8,49.4
11,11,7.3,24.95
12,12,7.9,112
13,13,7.8,138
14,14,7.4,20.8
15,15,7.6,154
16,16,7.6,28.8
17,17,7,65.7
